Codename,Product,"Sub
#","Ver
#",Region,1st Party,Platform,"Product
Code",Submitter,Sub Date,Sub Month,Result,"Result
Date","Days
in Test",Fail Reason,"Notes
(detail Fail reason if any)","Build Path
hyperlink",
Mist,Patch,1,1.21,WW,Sony,PS5,PPSA-19461,SOJ,13-Apr-26,Apr-26,PENDING,,,,1.21 Hotfix (Save Data Loss Fix),,
Mist,Patch,1,1.21,WW,Sony,PS4,CUSA-45905,SOJ,13-Apr-26,Apr-26,PENDING,,,,1.21 Hotfix (Save Data Loss Fix),,
Mist,Patch,1,1.21,WW,Nintendo,NSW,HAC-M-BCU8A,SOJ,13-Apr-26,Apr-26,PENDING,,,,1.21 Hotfix (Save Data Loss Fix),,
Mist,Application,1,1.00,WW,Nintendo,NSW2,BEE-P-ABS3A,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,DAS (RC 4/13 tbd),,
Mist,Game,1,1.00,WW,Nintendo,NSW2,BEE-P-ABS2A,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,v0 base game (RC 4/13 tbd),,
Mist,Game,1,1.00,WW,Nintendo,NSW2,BEE-P-ABS2A,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,v1 base game (RC 4/13 tbd),,
Mist,DLC,1,1.00,WW,Nintendo,NSW2,BEE-M-ABS2A,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,DLC (4 indexes),,
APK2,Patch,1,1.81,WW,Nintendo,NSW,HAC-P-BC7VB,SOJ,18-Jun-26,Jun-26,PENDING,,-32994,,1.81 patch (sign-off 6/17),,
APK2,Patch,1,1.81,WW,Sony,PS5,PPSA-25427,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,1.81 patch,,
APK2,Patch,1,1.81,WW,Sony,PS4,CUSA-50716,SOJ,TBD,#VALUE!,PENDING,,#VALUE!,,1.81 patch,,
APK2,Patch,1,1.81,WW,Microsoft,XB1,9P95J9QZ0SW4,SOA,TBD,#VALUE!,PENDING,,#VALUE!,,1.81 patch,,
APK2,Patch,1,1.81,WW,Microsoft,XBS,9P95J9QZ0SW4,SOA,TBD,#VALUE!,PENDING,,#VALUE!,,1.81 patch,,
APK2,Patch,1,1.81,WW,Valve,Steam,,SOA,TBD,#VALUE!,PENDING,,#VALUE!,,1.81 patch,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
,,,,,,,,,,Jan-26,PENDING,,0,,,,
