Codename,Product,"Sub
#","Ver
#",Region,1st Party,Platform,"Product
Code",Submitter,Sub Date,Sub Month,Result,"Result
Date","Days
in Test",Fail Reason,"Notes
(detail Fail reason if any)","Build Path
hyperlink",
Libra,Patch,1,1.010.000,WW,Sony,PS5,PPSA-07651,SOJ,4-Apr-25,Apr-25,PASS,4-Apr-25,1,,,Y:\Libra\Final Submissions\PS5\11 1.10\20250327_rev11900\Shipping,
Libra,Patch,1,1.10,NA,Sony,PS4,CUSA-37521,SOA,4-Apr-25,Apr-25,PASS,4-Apr-25,1,,,Y:\Libra\Final Submissions\PS4\US\11 1.10\20250327_rev11900\Shipping\na,
Libra,Patch,1,1.10,EU,Sony,PS4,CUSA-37522,SOA,4-Apr-25,Apr-25,PASS,4-Apr-25,1,,,Y:\Libra\Final Submissions\PS4\EU\11 1.10\20250327_rev11900\Shipping\eu,
Libra,Patch,1,1.10,WW,Valve,Steam,17964130,SOA,4-Apr-25,Apr-25,PASS,4-Apr-25,1,,,N/A,
Raijin,Game,1,1.0.0.1,WW,Microsoft,XBS,9NB58STJ848G,SOA,4-Apr-25,Apr-25,PASS,8-Apr-25,3,,To fix displayname issue in resource file found in approved green disc build,Y:\Raijin\Final Submissions\XBSX\1 Base Game\Sub 2\Rev26069_R_1.0.0.1_new,
Libra,Patch,1,1.0.209.0,WW,Microsoft,XB1,9NKK6Z0K3RH2,SOA,7-Apr-25,Apr-25,PASS,7-Apr-25,1,,,Y:\Libra\Final Submissions\XB1\11 1.10\20250327_rev11900\Shipping\all,
Libra,Patch,1,1.0.213.0,WW,Microsoft,XBS,9NKK6Z0K3RH2,SOA,7-Apr-25,Apr-25,PASS,7-Apr-25,1,,,Y:\Libra\Final Submissions\XBSX\11 1.10\20250327_rev11900\Shipping\all,
Libra,Patch,1,1.0.241.0,WW,Microsoft,MSPC,9NKK6Z0K3RH2,SOA,7-Apr-25,Apr-25,PASS,7-Apr-25,1,,,Y:\Libra\Final Submissions\MSPC\11 1.10\20250327_rev11900,
Sparrow,Patch,1,1.14,WW,Valve,Steam,18023911,SOA,10-Apr-25,Apr-25,PASS,11-Apr-25,2,,,N/A,
Sparrow,Patch,1,1.14,WW,Sony,PS5,PPSA-24478,SOJ,10-Apr-25,Apr-25,PASS,11-Apr-25,2,,,X:\Sparrow\Final Submissions\PS5\5 1.14\75922\retail,
Sparrow,Patch,1,1.14,WW,Sony,PS4,CUSA-49939,SOJ,10-Apr-25,Apr-25,PASS,11-Apr-25,2,,,X:\Sparrow\Final Submissions\PS4\5 1.14\75922\retail,
Sparrow,Patch,1,1.14.760.0,WW,Microsoft,XB1,9P1303FCXW6X,SOA,11-Apr-25,Apr-25,PASS,11-Apr-25,1,,,X:\Sparrow\Final Submissions\XB1\5 1.14\75922\retail,
Sparrow,Patch,1,2.14.760.0,WW,Microsoft,XBS,9P1303FCXW6X,SOA,11-Apr-25,Apr-25,PASS,11-Apr-25,1,,,X:\Sparrow\Final Submissions\XBSX\5 1.14\75922\retail,
Sparrow,Patch,1,2.14.770.0,WW,Microsoft,MSPC,9P1303FCXW6X,SOA,11-Apr-25,Apr-25,PASS,11-Apr-25,1,,,X:\Sparrow\Final Submissions\MSPC\5 1.14\75922\retail,
APK2,Game,2,1.00,WW,Nintendo,NSW,HAC-P-BC7VB,SOJ,11-Apr-25,Apr-25,FAIL,25-Apr-25,11,Compliance,RC2 submission; Online Vs > Room Match fails to work with 8 players,X:\APK2\Final Submissions\NX\1 Base Game\Sub 1,
Miller,Game,1,1.0.0,WW,Nintendo,NSW2,BEE-U-AAHPA,SOJ,15-Apr-25,Apr-25,PASS,1-May-25,13,,Final v1 NSW2 ROM submission to LOT,"Z:\Miller\ounce64\MASTER\202503141504_ounce64_ww_r883_master\miller_sxsg_ounce_0gbpatch_revised
",
Miller,DLC,1,1.0.0,WW,Nintendo,NSW2,BEE-M-AAHPA,SOJ,15-Apr-25,Apr-25,PASS,1-May-25,13,,"2 nsp files (DAS, Merged)","DAS 
Z:\Miller\ounce64\DAS\202503131403_ounce64_ww_r879\1.00_latest\_ounce64_ww\dlc_das.nss
DLC_Merged
Z:\Miller\ounce64\DLC\202503211821_ounce64_ww_r944\dlc_merged\AAHPA_dlc_merged.nsp",
Gelande,Game,1,1.0.0,WW,Nintendo,NSW2,BEE-U-AAGRA,SOJ,16-Apr-25,Apr-25,FAIL,24-Apr-25,7,Compliance,Final v1 NSW2 ROM submission to LOT,"Z:\Gelande\Final Submissions\Emporium\1.00\gelande_retail_7530_v1.nsp
",
Fujin,Game,1,1.0.0,WW,Nintendo,NSW2,BEE-U-AATRC,SOJ,18-Apr-25,Apr-25,PASS,29-Apr-25,8,,Final v1 NSW2 ROM submission to LOT,\\soa-gbuild01.soa.sega.us\Storage\Fujin\Final Submissions\Ounce\1 Base Game\2025_04_09\0GB,
Fujin,DLC,1,1.0.0,WW,Nintendo,NSW2,BEE-M-AATRC,SOJ,18-Apr-25,Apr-25,PASS,29-Apr-25,8,,1 nsp (9 DLC indexes),\\soa-gbuild01.soa.sega.us\Storage\Fujin\Final Submissions\Ounce\0.1 DLC\2025_03_13\DLC,
Tenp2,Game,1,1.0.0,WW,Nintendo,NSW2,BEE-U-AAGGA,SOJ,21-Apr-25,Apr-25,PASS,2-May-25,10,,SOJ submitted newer RC due to cutting new build to add GRAC,X:\Tenp2\Final Submissions\Emporium\Release v1,
