Beat,Title,KPI,Benchmark Range (45th percentile),Benchmark Range (60th percentile),Metaphor: ReFantazio (Actuals),Other Internal Title (Actuals) - YLAD: Infinite Wealth for Crown; P3R for Progress
Launch,Progress,Channel Counts (Partners),11,12,6,8
4 weeks post launch,Progress,MindShare,1.76%,1.93%,1.54%,1.68%
4 weeks post launch,Progress,Viewership,"406,517,441","842,496,067","204,000,000","409,000,000"
4 weeks post launch,Progress,Channel Views (Press),"29,252,960","51,439,538","14,500,000","14,700,000"
4 weeks post launch,Progress,Channel Views (Publisher),"25,161,016","38,160,195","65,900,000","29,000,000"
4 weeks post launch,Progress,Channel Views (Influencer),"320,288,575","667,730,520","111,000,000","345,000,000"
4 weeks post launch,Progress,Channel Views (Partners),"34,266,629","69,087,826","12,800,000","19,500,000"
4 weeks post launch,Progress,Channel Counts (Press),583,873,200,193
4 weeks post launch,Progress,Channel Counts (Publisher),16,18,16,15
4 weeks post launch,Progress,Channel Counts (Influencer),"5,763","6,110","2,941","6,368"
4 weeks post launch,Progress,Channel Counts (Partners),11,13,7,8
